smiles,hit0,hit1
[H]ON([H])[C@@]1([H])N2[C@]([H])(C([H])([H])[C@@]([H])(c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])C([H])([H])[H])C([H])([H])OC1([H])[H],x0501b,x0787a
[H]ON([H])[C@@]1([H])[C@@H]2[C@H](C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])C([H])([H])[H])C([H])C([H])[C@@H]2C([H])([H])OC1([H])[H],x0501b,x0787b
[H]N(C(=O)C([H])([H])[H])[C@@]([H])(c1nnc(C(=O)C(=O)[C@]2([H])OC([H])([H])C([H])([H])C2([H])[H])s1)C([H])([H])[H],x0407c,x0419b
[H]N1C(=S)N([H])[C@@]2([H])O[C@@]([H])(C(=O)N([H])[C@@]3([H])S[C@@]([H])(C([H])([H])C([H])([H])[H])N([H])C3(F)F)C([H])([H])[C@]12[H],x0407c,x0436a
[H]N([H])C(=S)[C@@]1([H])O[C@@]([H])(C(=O)N([H])[C@@]2([H])S[C@@]([H])(C([H])([H])C([H])([H])[H])N([H])C2(F)F)C([H])([H])C1([H])[H],x0407c,x0436b
[H]C1=C(C([H])([H])C([H])([H])[H])N2N:N:C(c3c([H])c([H])nc([H])c3[H]):N(C(=O)[C@]3([H])OC([H])([H])C([H])([H])C3([H])[H]):C2S1,x0407c,x0485b
[H]C1=C(C([H])([H])C([H])([H])[H])N2N:N:C(c3c([H])c([H])nc([H])c3[H]):N(C(=O)[C@]3([H])OC([H])([H])C([H])([H])C3([H])[H]):C2S1,x0407c,x0485c
[H]c1c([H])c([S@](=O)(=N[C@]2([H])O[C@@]([H])(C(=O)N([H])c3nnc(C([H])([H])C([H])([H])[H])s3)C([H])([H])C2([H])[H])N([H])[H])c([H])c([H])c1C([H])([H])N([H])C(=O)C([H])([H])[H],x0407c,x0487b
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])c1nnc(C([H])([H])C([H])([H])[H])s1,x0407c,x0606a
[H]N(C(=O)[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])c1nnc(C([H])([H])C([H])([H])[H])s1,x0407c,x0606b
